"study","condition.name","n"
"McGinty730","Unsuccessful Treatment Engagement (Individual Choice) + Stranger Violence",1077
"McGinty730","Unsuccessful Treatment Engagement (Policy Failure)",1067
"McGinty730","Unsuccessful treatment Engagement (Policy Failure) + Family Violence",1050
"McGinty730","Unsuccessful Treatment Engagement (Policy Failure) + Stranger Violence",1025
"Melin1066","“Cosmetics/Automotive”",801
"Melin1066","“Cosmetics/Consulting”",863
"Melin1066","“Cosmetics/Wedding”",746
"Melin1066","“Military/Automotive”",799
"Melin1066","“Military/Consulting”",791
"Melin1066","“Military/Wedding”",879
"melloS6","1 [v1]",319
"melloS6","5 [v5]",321
"Merolla843","anger_condtion",553
"Merolla843","fear/anxiety_condtion",595
"Merolla843","relaxation_condition",555
"Mezzapelle1439","Black Cisgender Woman",1588
"Mezzapelle1439","Black Transgender Woman",1572
"Mezzapelle1439","White Cisgender Woman",1560
"Mezzapelle1439","White Transgender Woman",1593
"MunschS68","40 hours/female/1%",70
"MunschS68","40 hours/female/20%",55
"MunschS68","40 hours/female/60%",70
"MunschS68","40 hours/male/1%",72
"MunschS68","40 hours/male/20%",75
"MunschS68","40 hours/male/60%",60
"MunschS68","50 hours/female/1%",52
"MunschS68","50 hours/female/20%",80
"MunschS68","50 hours/female/60%",59
"MunschS68","50 hours/male/1%",64
"MunschS68","50 hours/male/20%",52
"MunschS68","50 hours/male/60%",53
"parmerS15","1 [experimental group 1]",1277
"parmerS15","2 [experimental group 2]",1329
"patriot_act","Con",1176
"patriot_act","Pro",1182
"pedullaS18","1 [White Male/ White Straight]",317
"pedullaS18","2 [Black Male/ Black Straight]",303
"piazzaS8","1 [1]",625
"piazzaS8","2 [2]",677
"relihan1399","Condition 1",1920
"relihan1399","Condition 2",1942
"relihan1399","Condition 3",1969
"Rifkin1073","High",590
"Rifkin1073","Low",596
"RyanS14","Q2 is democrat",1006
"RyanS14","Q2 is republican",1030
"SchaadS62","v1 Narrative Conforming Transgender Woman",274
"SchaadS62","v2 Narrative Nonconforming Transgender Woman",267
"SchaadS62","v3 Narrative Conforming AMAB Non-Binary Person",276
"SchaadS62","v4 Narrative Nonconforming AMAB Non-Binary Person",234
"SchaadS62","v5 Narrative Conforming Transgender Man",272
"SchaadS62","v6 Narrative Nonconforming Transgender Man",254
"SchaadS62","v7 Narrative Conforming AFAB Non-Binary Person",266
"SchaadS62","v8 Narrative Nonconforming AFAB Non-Binary Person",267
"Schnabel903","Version 1",701
"Schnabel903","Version 2",687
"Schnabel903","Version 3",688
"Schnabel903","Version 4",626
"Schnabel903","Version 5",682
"Schnabel903","Version 6",711
"Schnabel903","Version 7",704
"Schnabel903","Version 8",700
"senS81","Gender-Control",637
"senS81","Gender-PopulationStatistics",652
"senS81","Gender-PopulationStatistics_StatusQuo",666
"shaferS9","1 [1]",864
"shaferS9","2 [2]",846
"ShannonS2","Control",407
"ShannonS2","Illegal",422
"ShannonS2","Illegal without savings",417
"ShannonS2","Immigrant",395
"ShannonS2","Immigrant without savings",424
"ShannonS2","Treatment",415
"ShannonS28","neg immigration rep cue",1107
"ShannonS28","pos immigration rep cue",1135
"Silverman1035","Control group: No Corrective Information",766
"Silverman1035","Treatment 1: Corrective Information, No Elite Endorsement",774
"Silverman1035","Treatment 2: Corrective Information, Democratic Endorsement",823
"Silverman1035","Treatment 3: Corrective Information, Republican Endorsement",821
"Silverman1035","Treatment 4: Corrective Information, Military Endorsement",765
"Stoker1063","DrinWat_Pr_N",706
"Stoker1063","DrinWat_Pr_P",644
"Stoker1063","HospDes_Pr_N",653
"Stoker1063","HospDes_Pr_P",634
"Stoker1063","HSAch_Pr_N",601
"Stoker1063","HSAch_Pr_P",793
"Stoker1063","MarDeb_Pr_N",691
"Stoker1063","MarDeb_Pr_P",639
"system_threat","craig_placebo",746
"system_threat","craig_treatment",709
"Terman1029","International Rights Group Codemns Abuse in US",1154
"Terman1029","International Rights Group Condemns Abuses in the US- “reintegrative”",1150
"Terman1029","International Rights Group Condemns Abuses in the US- “stigmatic”",1052
"Terman1029","New York Rights Group Condemns Abuses in the United States",1150
"Terman1029","Rights Group Condemns Abuses Worldwide",1120
"thompsonS10","1 [High Fear]",861
"thompsonS10","2 [Plain Low Fear]",884
"ThorsonS42","DVs first",3125
"ThorsonS42","DVs second, misinformation",1585
"ThorsonS42","DVs second, misinformation, social media",1596
"turagaS11","1 [1]",615
"turagaS11","3 [3]",564
"wallaceS12","1 [1]",485
"wallaceS12","2 [2]",436
"WallaceS9","Group 1",457
"WallaceS9","Group 2",493
"WallaceS9","Group 3",572
"WallaceS9","Group 4",484
"WallaceS9","Group 5",520
"WallaceS9","Group 6",469
"WallaceS9","Group 7",450
"WallaceS9","Group 8",542
"wayne841","Anger",682
"wayne841","Fear",683
"wayne841","RELAXED/CONTROL",746
"willer845","Control",2077
"willer845","Threat to Economic Security",2002
"willer845","Threat to Racial Status",2084
"Williamson859","COND1",1510
"Williamson859","COND2",1513
"Williamson859","CONTROL",1541
