"study","outcome.name","hypothesis","condition.name","t_hypothesis"
"CalarcoS38","Approval","hyp2","HIGH STATUS, LIGHT DRINKING, NO WARNING",1
"CalarcoS38","Approval","hyp2","HIGH STATUS, LIGHT DRINKING, WARNING",1
"CalarcoS38","Approval","hyp2","LOW STATUS, NO DRINKING, NO WARNING",0
"CalarcoS38","Approval","hyp2","LOW STATUS, NO DRINKING, WARNING",0
"CalarcoS38","Approval","hyp2","LOW STATUS, LIGHT DRINKING, NO WARNING",1
"CalarcoS38","Approval","hyp2","LOW STATUS, LIGHT DRINKING, WARNING",1
"CalarcoS38","Approval","hyp3","HIGH STATUS, LIGHT DRINKING, NO WARNING",0
"CalarcoS38","Approval","hyp3","HIGH STATUS, LIGHT DRINKING, WARNING",0
"CalarcoS38","Approval","hyp3","LOW STATUS, LIGHT DRINKING, NO WARNING",1
"CalarcoS38","Approval","hyp3","LOW STATUS, LIGHT DRINKING, WARNING",1
"Campbell1308","Gender Roles","hyp1","Control",0
"Campbell1308","Gender Roles","hyp1","Non-Partisan story",1
"Campbell1308","Gender Roles","hyp1","Democratic story",1
"Campbell1308","Gender Roles","hyp1","Republican story",1
"Campbell1308","Political Engagement","hyp1","Control",0
"Campbell1308","Political Engagement","hyp1","Non-Partisan story",1
"Campbell1308","Political Engagement","hyp1","Democratic story",1
"Campbell1308","Political Engagement","hyp1","Republican story",1
"Campbell1308","Political Responsiveness","hyp1","Control",0
"Campbell1308","Political Responsiveness","hyp1","Non-Partisan story",1
"Campbell1308","Political Responsiveness","hyp1","Democratic story",1
"Campbell1308","Political Responsiveness","hyp1","Republican story",1
"Cohen1099","Accounting","hyp1","male, upper class, no info",0
"Cohen1099","Accounting","hyp1","male, working class, no info",0
"Cohen1099","Accounting","hyp1","male, upper class, student loans",0
"Cohen1099","Accounting","hyp1","male, working class, student loans",0
"Cohen1099","Accounting","hyp1","male, upper class, no debt",0
"Cohen1099","Accounting","hyp1","male, working class, no debt",0
"Cohen1099","Accounting","hyp1","female, upper class, no info",1
"Cohen1099","Accounting","hyp1","female, working class, no info",1
"Cohen1099","Accounting","hyp1","female, upper class, student loans",1
"Cohen1099","Accounting","hyp1","female, working class, student loans",1
"Cohen1099","Accounting","hyp1","female, upper class, no debt",1
"Cohen1099","Accounting","hyp1","female, working class, no debt",1
"Cohen1099","Accounting","hyp2","male, upper class, student loans",1
"Cohen1099","Accounting","hyp2","male, working class, student loans",1
"Cohen1099","Accounting","hyp2","male, upper class, no debt",0
"Cohen1099","Accounting","hyp2","male, working class, no debt",0
"Cohen1099","Accounting","hyp2","female, upper class, student loans",1
"Cohen1099","Accounting","hyp2","female, working class, student loans",1
"Cohen1099","Accounting","hyp2","female, upper class, no debt",0
"Cohen1099","Accounting","hyp2","female, working class, no debt",0
"Cohen1099","History","hyp1","male, upper class, no info",0
"Cohen1099","History","hyp1","male, working class, no info",0
"Cohen1099","History","hyp1","male, upper class, student loans",0
"Cohen1099","History","hyp1","male, working class, student loans",0
"Cohen1099","History","hyp1","male, upper class, no debt",0
"Cohen1099","History","hyp1","male, working class, no debt",0
"Cohen1099","History","hyp1","female, upper class, no info",1
"Cohen1099","History","hyp1","female, working class, no info",1
"Cohen1099","History","hyp1","female, upper class, student loans",1
"Cohen1099","History","hyp1","female, working class, student loans",1
"Cohen1099","History","hyp1","female, upper class, no debt",1
"Cohen1099","History","hyp1","female, working class, no debt",1
"Cohen1099","Nursing","hyp1","male, upper class, no info",0
"Cohen1099","Nursing","hyp1","male, working class, no info",0
"Cohen1099","Nursing","hyp1","male, upper class, student loans",0
"Cohen1099","Nursing","hyp1","male, working class, student loans",0
"Cohen1099","Nursing","hyp1","male, upper class, no debt",0
"Cohen1099","Nursing","hyp1","male, working class, no debt",0
"Cohen1099","Nursing","hyp1","female, upper class, no info",1
"Cohen1099","Nursing","hyp1","female, working class, no info",1
"Cohen1099","Nursing","hyp1","female, upper class, student loans",1
"Cohen1099","Nursing","hyp1","female, working class, student loans",1
"Cohen1099","Nursing","hyp1","female, upper class, no debt",1
"Cohen1099","Nursing","hyp1","female, working class, no debt",1
"Cohen1099","Nursing","hyp2","male, upper class, student loans",1
"Cohen1099","Nursing","hyp2","male, working class, student loans",1
"Cohen1099","Nursing","hyp2","male, upper class, no debt",0
"Cohen1099","Nursing","hyp2","male, working class, no debt",0
"Cohen1099","Nursing","hyp2","female, upper class, student loans",1
"Cohen1099","Nursing","hyp2","female, working class, student loans",1
"Cohen1099","Nursing","hyp2","female, upper class, no debt",0
"Cohen1099","Nursing","hyp2","female, working class, no debt",0
"CorstangeBRIEF69","welcome_refugees","hyp1","Group 1",0
"CorstangeBRIEF69","welcome_refugees","hyp1","Group 2",1
"CorstangeBRIEF69","welcome_refugees","hyp2","Group 1",0
"CorstangeBRIEF69","welcome_refugees","hyp2","Group 3",1
"Enos700","modern_racism1","hyp1","Black",0
"Enos700","modern_racism1","hyp1","Surinamese",1
"Enos700","modern_racism1","hyp1","Mauritanian",1
"FaheyS78","cancel culture","hyp1","Liberal * No Cancel",0
"FaheyS78","cancel culture","hyp1","Liberal * Cancel",1
"FaheyS78","cancel culture","hyp1","Conservative * No Cancel",0
"FaheyS78","cancel culture","hyp1","Conservative * Cancel",1
"FarrowS6","Disappointment","hyp1","Condition 1 disappointment",0
"FarrowS6","Disappointment","hyp1","Condition 2 disappointment",1
"Haaland874","Affirmative action: Assistance","hyp1","TREATMENT",1
"Haaland874","Affirmative action: Assistance","hyp1","CONTROL",0
"Haaland874","Affirmative action: Preference","hyp1","TREATMENT",1
"Haaland874","Affirmative action: Preference","hyp1","CONTROL",0
"Haaland874","Racial Discrimination perception","hyp1","TREATMENT",1
"Haaland874","Racial Discrimination perception","hyp1","CONTROL",0
"HankinsonS22","Clinic_support","hyp1","Near Treatment",0
"HankinsonS22","Clinic_support","hyp1","Far Treatment",1
"Howard823","Willingness_to_spend_on_optional_expense","hyp1","Control",0
"Howard823","Willingness_to_spend_on_optional_expense","hyp1","Experimental Different",1
"Howard823","Willingness_to_spend_on_optional_expense","hyp2","Experimental Different",1
"Howard823","Willingness_to_spend_on_optional_expense","hyp2","Experimental Similar",0
"Howard823","financial_slack","hyp1","Control",0
"Howard823","financial_slack","hyp1","Experimental Different",1
"Howard823","financial_slack","hyp2","Experimental Different",1
"Howard823","financial_slack","hyp2","Experimental Similar",0
"Howard823","predictedexpense_nextweek","hyp1","Control",0
"Howard823","predictedexpense_nextweek","hyp1","Experimental Different",1
"Howard823","predictedexpense_nextweek","hyp2","Experimental Different",1
"Howard823","predictedexpense_nextweek","hyp2","Experimental Similar",0
"Iles1294","Confusing","hyp1","Experimental condition 1 (conflict in evidence)",1
"Iles1294","Confusing","hyp1","Experimental condition 2 (conflict between sources)",1
"Iles1294","Confusing","hyp1","Experimental condition 3 (conflict within source)",1
"Iles1294","Confusing","hyp1","Experimental condition 4 (no conflict control)",0
"Iles1294","Confusing","hyp1","Experimental condition 5 (conflict in evidence)",1
"Iles1294","Confusing","hyp1","Experimental condition 6 (conflict between sources)",1
"Iles1294","Confusing","hyp1","Experimental condition 7 (conflict within source)",1
"Iles1294","Confusing","hyp1","Experimental condition 8 (no conflict control)",0
"Iles1294","Confusing","hyp2","Experimental condition 1 (conflict in evidence)",0
"Iles1294","Confusing","hyp2","Experimental condition 2 (conflict between sources)",1
"Iles1294","Confusing","hyp2","Experimental condition 5 (conflict in evidence)",0
"Iles1294","Confusing","hyp2","Experimental condition 6 (conflict between sources)",1
"Iles1294","Confusing","hyp3","Experimental condition 2 (conflict between sources)",1
"Iles1294","Confusing","hyp3","Experimental condition 3 (conflict within source)",0
"Iles1294","Confusing","hyp3","Experimental condition 6 (conflict between sources)",1
"Iles1294","Confusing","hyp3","Experimental condition 7 (conflict within source)",0
"Iles1294","Frustrated","hyp1","Experimental condition 1 (conflict in evidence)",1
"Iles1294","Frustrated","hyp1","Experimental condition 2 (conflict between sources)",1
"Iles1294","Frustrated","hyp1","Experimental condition 3 (conflict within source)",1
"Iles1294","Frustrated","hyp1","Experimental condition 4 (no conflict control)",0
"Iles1294","Frustrated","hyp1","Experimental condition 5 (conflict in evidence)",1
"Iles1294","Frustrated","hyp1","Experimental condition 6 (conflict between sources)",1
"Iles1294","Frustrated","hyp1","Experimental condition 7 (conflict within source)",1
"Iles1294","Frustrated","hyp1","Experimental condition 8 (no conflict control)",0
"Iles1294","Frustrated","hyp2","Experimental condition 1 (conflict in evidence)",0
"Iles1294","Frustrated","hyp2","Experimental condition 2 (conflict between sources)",1
"Iles1294","Frustrated","hyp2","Experimental condition 5 (conflict in evidence)",0
"Iles1294","Frustrated","hyp2","Experimental condition 6 (conflict between sources)",1
"Iles1294","Frustrated","hyp3","Experimental condition 2 (conflict between sources)",1
"Iles1294","Frustrated","hyp3","Experimental condition 3 (conflict within source)",0
"Iles1294","Frustrated","hyp3","Experimental condition 6 (conflict between sources)",1
"Iles1294","Frustrated","hyp3","Experimental condition 7 (conflict within source)",0
"Iles1294","collaborative","hyp1","Experimental condition 1 (conflict in evidence)",1
"Iles1294","collaborative","hyp1","Experimental condition 2 (conflict between sources)",1
"Iles1294","collaborative","hyp1","Experimental condition 3 (conflict within source)",1
"Iles1294","collaborative","hyp1","Experimental condition 4 (no conflict control)",0
"Iles1294","collaborative","hyp1","Experimental condition 5 (conflict in evidence)",1
"Iles1294","collaborative","hyp1","Experimental condition 6 (conflict between sources)",1
"Iles1294","collaborative","hyp1","Experimental condition 7 (conflict within source)",1
"Iles1294","collaborative","hyp1","Experimental condition 8 (no conflict control)",0
"Iles1294","collaborative","hyp2","Experimental condition 1 (conflict in evidence)",0
"Iles1294","collaborative","hyp2","Experimental condition 2 (conflict between sources)",1
"Iles1294","collaborative","hyp2","Experimental condition 5 (conflict in evidence)",0
"Iles1294","collaborative","hyp2","Experimental condition 6 (conflict between sources)",1
"Iles1294","collaborative","hyp3","Experimental condition 2 (conflict between sources)",1
"Iles1294","collaborative","hyp3","Experimental condition 3 (conflict within source)",0
"Iles1294","collaborative","hyp3","Experimental condition 6 (conflict between sources)",1
"Iles1294","collaborative","hyp3","Experimental condition 7 (conflict within source)",0
"Kennedy1017","Family_approval","hyp1","Green; Low",0
"Kennedy1017","Family_approval","hyp1","Green; High",1
"Kennedy1017","Family_approval","hyp2","Not Green; Low",0
"Kennedy1017","Family_approval","hyp2","Green; Low",1
"Kennedy1017","Family_approval","hyp2","Not Green; High",0
"Kennedy1017","Family_approval","hyp2","Green; High",1
"Kennedy1017","Family_friends","hyp1","Green; Low",0
"Kennedy1017","Family_friends","hyp1","Green; High",1
"Kennedy1017","Family_friends","hyp2","Not Green; Low",0
"Kennedy1017","Family_friends","hyp2","Green; Low",1
"Kennedy1017","Family_friends","hyp2","Not Green; High",0
"Kennedy1017","Family_friends","hyp2","Green; High",1
"Kennedy1017","Family_knowledge","hyp1","Green; Low",0
"Kennedy1017","Family_knowledge","hyp1","Green; High",1
"Kennedy1017","Family_knowledge","hyp2","Not Green; Low",0
"Kennedy1017","Family_knowledge","hyp2","Green; Low",1
"Kennedy1017","Family_knowledge","hyp2","Not Green; High",0
"Kennedy1017","Family_knowledge","hyp2","Green; High",1
"KlarS44","efficacy","hyp1","CONTROL",1
"KlarS44","efficacy","hyp1","PARTISAN",0
"KlarS44","efficacy","hyp2","GENDER",1
"KlarS44","efficacy","hyp2","PARTISAN",0
"KlarS44","importance","hyp1","CONTROL",1
"KlarS44","importance","hyp1","PARTISAN",0
"KlarS44","importance","hyp2","GENDER",1
"KlarS44","importance","hyp2","PARTISAN",0
"KlarS44","support_candidate","hyp1","CONTROL",1
"KlarS44","support_candidate","hyp1","PARTISAN",0
"KlarS44","support_candidate","hyp2","GENDER",1
"KlarS44","support_candidate","hyp2","PARTISAN",0
"McGinty730","social_stigma","hyp1","Successful Treatment Engagement & Recovery",1
"McGinty730","social_stigma","hyp1","No narrative",0
"McGinty730","social_stigma","hyp2","Unsuccessful Treatment Engagement (Individual Choice)",1
"McGinty730","social_stigma","hyp2","Unsuccessful Treatment Engagement (Policy Failure)",1
"McGinty730","social_stigma","hyp2","No narrative",0
"McGinty730","social_stigma","hyp3","Unsuccessful Treatment Engagement (Individual Choice) + Stranger Violence",1
"McGinty730","social_stigma","hyp3","Unsuccessful Treatment Engagement (Policy Failure) + Stranger Violence",1
"McGinty730","social_stigma","hyp3","No narrative",0
"McGinty730","social_stigma","hyp4","Unsuccessful Treatment Engagement (Individual Choice) + Family Violence",1
"McGinty730","social_stigma","hyp4","Unsuccessful treatment Engagement (Policy Failure) + Family Violence",1
"McGinty730","social_stigma","hyp4","No narrative",0
"McGinty730","treatment_support","hyp1","Successful Treatment Engagement & Recovery",1
"McGinty730","treatment_support","hyp1","No narrative",0
"McGinty730","treatment_support","hyp2","Unsuccessful Treatment Engagement (Individual Choice)",1
"McGinty730","treatment_support","hyp2","Unsuccessful Treatment Engagement (Policy Failure)",1
"McGinty730","treatment_support","hyp2","No narrative",0
"McGinty730","treatment_support","hyp3","Unsuccessful Treatment Engagement (Individual Choice) + Stranger Violence",1
"McGinty730","treatment_support","hyp3","Unsuccessful Treatment Engagement (Policy Failure) + Stranger Violence",1
"McGinty730","treatment_support","hyp3","No narrative",0
"McGinty730","treatment_support","hyp4","Unsuccessful Treatment Engagement (Individual Choice) + Family Violence",1
"McGinty730","treatment_support","hyp4","Unsuccessful treatment Engagement (Policy Failure) + Family Violence",1
"McGinty730","treatment_support","hyp4","No narrative",0
"McGinty730","willingness_to_pay_mentalhealthservices","hyp1","Successful Treatment Engagement & Recovery",1
"McGinty730","willingness_to_pay_mentalhealthservices","hyp1","No narrative",0
"McGinty730","willingness_to_pay_mentalhealthservices","hyp2","Unsuccessful Treatment Engagement (Individual Choice)",1
"McGinty730","willingness_to_pay_mentalhealthservices","hyp2","Unsuccessful Treatment Engagement (Policy Failure)",1
"McGinty730","willingness_to_pay_mentalhealthservices","hyp2","No narrative",0
"McGinty730","willingness_to_pay_mentalhealthservices","hyp3","Unsuccessful Treatment Engagement (Individual Choice) + Stranger Violence",1
"McGinty730","willingness_to_pay_mentalhealthservices","hyp3","Unsuccessful Treatment Engagement (Policy Failure) + Stranger Violence",1
"McGinty730","willingness_to_pay_mentalhealthservices","hyp3","No narrative",0
"McGinty730","willingness_to_pay_mentalhealthservices","hyp4","Unsuccessful Treatment Engagement (Individual Choice) + Family Violence",1
"McGinty730","willingness_to_pay_mentalhealthservices","hyp4","Unsuccessful treatment Engagement (Policy Failure) + Family Violence",1
"McGinty730","willingness_to_pay_mentalhealthservices","hyp4","No narrative",0
"Melin1066","Capable","hyp1","“Military/Automotive”",1
"Melin1066","Capable","hyp1","“Cosmetics/Automotive”",0
"Melin1066","Capable","hyp2","“Military/Consulting”",1
"Melin1066","Capable","hyp2","“Cosmetics/Consulting”",0
"Melin1066","Capable","hyp3","“Military/Wedding”",1
"Melin1066","Capable","hyp3","“Cosmetics/Wedding”",0
"Melin1066","masculine","hyp1","“Military/Automotive”",1
"Melin1066","masculine","hyp1","“Cosmetics/Automotive”",0
"Melin1066","masculine","hyp2","“Military/Consulting”",1
"Melin1066","masculine","hyp2","“Cosmetics/Consulting”",0
"Melin1066","masculine","hyp3","“Military/Wedding”",1
"Melin1066","masculine","hyp3","“Cosmetics/Wedding”",0
"Melin1066","salary","hyp1","“Military/Automotive”",1
"Melin1066","salary","hyp1","“Cosmetics/Automotive”",0
"Melin1066","salary","hyp2","“Military/Consulting”",1
"Melin1066","salary","hyp2","“Cosmetics/Consulting”",0
"Melin1066","salary","hyp3","“Military/Wedding”",1
"Melin1066","salary","hyp3","“Cosmetics/Wedding”",0
"Merolla843","foreign_policy","hyp1","anger_condtion",1
"Merolla843","foreign_policy","hyp1","relaxation_condition",0
"Merolla843","foreign_policy","hyp2","fear/anxiety_condtion",1
"Merolla843","foreign_policy","hyp2","relaxation_condition",0
"Merolla843","foreign_policy","hyp3","anger_condtion",1
"Merolla843","foreign_policy","hyp3","fear/anxiety_condtion",0
"Merolla843","hillary_clinton_leadership","hyp1","fear/anxiety_condtion",1
"Merolla843","hillary_clinton_leadership","hyp1","relaxation_condition",0
"Merolla843","hillary_clinton_leadership","hyp2","anger_condtion",0
"Merolla843","hillary_clinton_leadership","hyp2","fear/anxiety_condtion",1
"Merolla843","trump_leadership","hyp1","anger_condtion",1
"Merolla843","trump_leadership","hyp1","relaxation_condition",0
"Merolla843","trump_leadership","hyp2","anger_condtion",1
"Merolla843","trump_leadership","hyp2","fear/anxiety_condtion",0
"Mezzapelle1439","BELIEVABLE","hyp1","Black Cisgender Woman",1
"Mezzapelle1439","BELIEVABLE","hyp1","Black Transgender Woman",1
"Mezzapelle1439","BELIEVABLE","hyp1","White Cisgender Woman",0
"Mezzapelle1439","BELIEVABLE","hyp1","White Transgender Woman",0
"Mezzapelle1439","BELIEVABLE","hyp2","Black Cisgender Woman",0
"Mezzapelle1439","BELIEVABLE","hyp2","Black Transgender Woman",1
"Mezzapelle1439","BELIEVABLE","hyp2","White Cisgender Woman",0
"Mezzapelle1439","BELIEVABLE","hyp2","White Transgender Woman",1
"Mezzapelle1439","BELIEVABLE","hyp3","Black Transgender Woman",1
"Mezzapelle1439","BELIEVABLE","hyp3","White Cisgender Woman",0
"Mezzapelle1439","COMPENSATION","hyp1","Black Cisgender Woman",1
"Mezzapelle1439","COMPENSATION","hyp1","Black Transgender Woman",1
"Mezzapelle1439","COMPENSATION","hyp1","White Cisgender Woman",0
"Mezzapelle1439","COMPENSATION","hyp1","White Transgender Woman",0
"Mezzapelle1439","COMPENSATION","hyp2","Black Cisgender Woman",0
"Mezzapelle1439","COMPENSATION","hyp2","Black Transgender Woman",1
"Mezzapelle1439","COMPENSATION","hyp2","White Cisgender Woman",0
"Mezzapelle1439","COMPENSATION","hyp2","White Transgender Woman",1
"Mezzapelle1439","COMPENSATION","hyp3","Black Transgender Woman",1
"Mezzapelle1439","COMPENSATION","hyp3","White Cisgender Woman",0
"Mezzapelle1439","PERCEIVED HARM","hyp1","Black Cisgender Woman",1
"Mezzapelle1439","PERCEIVED HARM","hyp1","Black Transgender Woman",1
"Mezzapelle1439","PERCEIVED HARM","hyp1","White Cisgender Woman",0
"Mezzapelle1439","PERCEIVED HARM","hyp1","White Transgender Woman",0
"Mezzapelle1439","PERCEIVED HARM","hyp2","Black Cisgender Woman",0
"Mezzapelle1439","PERCEIVED HARM","hyp2","Black Transgender Woman",1
"Mezzapelle1439","PERCEIVED HARM","hyp2","White Cisgender Woman",0
"Mezzapelle1439","PERCEIVED HARM","hyp2","White Transgender Woman",1
"Mezzapelle1439","PERCEIVED HARM","hyp3","Black Transgender Woman",1
"Mezzapelle1439","PERCEIVED HARM","hyp3","White Cisgender Woman",0
"MunschS68","Morgan_Committed","hyp1","40 hours/male/1%",0
"MunschS68","Morgan_Committed","hyp1","40 hours/female/1%",0
"MunschS68","Morgan_Committed","hyp1","40 hours/male/20%",0
"MunschS68","Morgan_Committed","hyp1","40 hours/male/60%",0
"MunschS68","Morgan_Committed","hyp1","40 hours/female/60%",0
"MunschS68","Morgan_Committed","hyp1","50 hours/male/1%",1
"MunschS68","Morgan_Committed","hyp1","50 hours/female/1%",1
"MunschS68","Morgan_Committed","hyp1","50 hours/male/20%",1
"MunschS68","Morgan_Committed","hyp1","50 hours/female/20%",1
"MunschS68","Morgan_Committed","hyp1","50 hours/male/60%",1
"MunschS68","Morgan_Committed","hyp1","50 hours/female/60%",1
"SchaadS62","still_identify","hyp1","v1 Narrative Conforming Transgender Woman",0
"SchaadS62","still_identify","hyp1","v2 Narrative Nonconforming Transgender Woman",0
"SchaadS62","still_identify","hyp1","v3 Narrative Conforming AMAB Non-Binary Person",0
"SchaadS62","still_identify","hyp1","v4 Narrative Nonconforming AMAB Non-Binary Person",0
"SchaadS62","still_identify","hyp1","v5 Narrative Conforming Transgender Man",1
"SchaadS62","still_identify","hyp1","v6 Narrative Nonconforming Transgender Man",1
"SchaadS62","still_identify","hyp1","v7 Narrative Conforming AFAB Non-Binary Person",1
"SchaadS62","still_identify","hyp1","v8 Narrative Nonconforming AFAB Non-Binary Person",1
"SchaadS62","still_identify","hyp2","v1 Narrative Conforming Transgender Woman",0
"SchaadS62","still_identify","hyp2","v2 Narrative Nonconforming Transgender Woman",0
"SchaadS62","still_identify","hyp2","v3 Narrative Conforming AMAB Non-Binary Person",1
"SchaadS62","still_identify","hyp2","v4 Narrative Nonconforming AMAB Non-Binary Person",1
"SchaadS62","still_identify","hyp2","v5 Narrative Conforming Transgender Man",0
"SchaadS62","still_identify","hyp2","v6 Narrative Nonconforming Transgender Man",0
"SchaadS62","still_identify","hyp2","v7 Narrative Conforming AFAB Non-Binary Person",1
"SchaadS62","still_identify","hyp2","v8 Narrative Nonconforming AFAB Non-Binary Person",1
"SchaadS62","still_identify","hyp3","v1 Narrative Conforming Transgender Woman",0
"SchaadS62","still_identify","hyp3","v2 Narrative Nonconforming Transgender Woman",1
"SchaadS62","still_identify","hyp3","v3 Narrative Conforming AMAB Non-Binary Person",0
"SchaadS62","still_identify","hyp3","v4 Narrative Nonconforming AMAB Non-Binary Person",1
"SchaadS62","still_identify","hyp3","v5 Narrative Conforming Transgender Man",0
"SchaadS62","still_identify","hyp3","v6 Narrative Nonconforming Transgender Man",1
"SchaadS62","still_identify","hyp3","v7 Narrative Conforming AFAB Non-Binary Person",0
"SchaadS62","still_identify","hyp3","v8 Narrative Nonconforming AFAB Non-Binary Person",1
"Schnabel903","Feminine","hyp1","Version 1",1
"Schnabel903","Feminine","hyp1","Version 2",0
"Schnabel903","Feminine","hyp1","Version 3",0
"Schnabel903","Feminine","hyp1","Version 4",0
"Schnabel903","Feminine","hyp1","Version 5",1
"Schnabel903","Feminine","hyp1","Version 6",0
"Schnabel903","Feminine","hyp1","Version 7",0
"Schnabel903","Feminine","hyp1","Version 8",0
"Schnabel903","Masculine","hyp1","Version 1",1
"Schnabel903","Masculine","hyp1","Version 2",0
"Schnabel903","Masculine","hyp1","Version 3",0
"Schnabel903","Masculine","hyp1","Version 4",0
"Schnabel903","Masculine","hyp1","Version 5",1
"Schnabel903","Masculine","hyp1","Version 6",0
"Schnabel903","Masculine","hyp1","Version 7",0
"Schnabel903","Masculine","hyp1","Version 8",0
"ShannonS2","tax credit effective","hyp1","Control",0
"ShannonS2","tax credit effective","hyp1","Immigrant without savings",1
"ShannonS2","tax credit effective","hyp2","Immigrant without savings",0
