study,outcome.name,outcome_page_varies_by_condition,outcome_text,scale_min,scale_max,scale_labels,outcome_page_full
Melin1066,Capable,False,"On a scale from 1 “Not at all” to 7 “Extremely”, to what extent do you perceive this applicant as capable?",1,7,1=Not at all; 7=Extremely,"On a scale from 1 “Not at all” to 7 “Extremely”, to what extent do you perceive this applicant as capable?
Please choose a number from 1 (Not at all) to 7 (Extremely)"
Melin1066,masculine,False,"On a scale from 1 “Not at all” to 7 “Extremely”, to what extent do you perceive this applicant as masculine?",1,7,1=Not at all; 7=Extremely,"On a scale from 1 “Not at all” to 7 “Extremely”, to what extent do you perceive this applicant as masculine?
Please choose a number from 1 (Not at all) to 7 (Extremely)"
Merolla843,foreign_policy,False,"We would now like to ask you some questions about foreign policies.

Some people believe the United States should solve international problems by using diplomacy and other forms of international pressure and use military force only if absolutely necessary. Others believe diplomacy and pressure often fail and the U.S. must be ready to use military force. On a scale of 1 to 7, where a 1 indicates that we should exhaust diplomacy and a 7 indicates that we should be ready to use military force, where would you place yourself, or haven’t you thought much about this?",1,7,1=Exhaust Diplomacy; 7=Should be ready to use military force,"We would now like to ask you some questions about foreign policies.

Some people believe the United States should solve international problems by using diplomacy and other forms of international pressure and use military force only if absolutely necessary. Others believe diplomacy and pressure often fail and the U.S. must be ready to use military force. On a scale of 1 to 7, where a 1 indicates that we should exhaust diplomacy and a 7 indicates that we should be ready to use military force, where would you place yourself, or haven’t you thought much about this?
Please choose a number from 1 (Exhaust Diplomacy) to 7 (Should be ready to use military force)"
Merolla843,hillary_clinton_leadership,False,Hillary Clinton will provide strong leadership for the nation.,1,7,1=strongly disagree; 7=strongly agree,"Hillary Clinton will provide strong leadership for the nation.
Please choose a number from 1 (strongly disagree) to 7 (strongly agree)"
Merolla843,trump_leadership,False,Donald Trump will provide strong leadership for the nation.,1,7,1=strongly disagree; 7=strongly agree,"Donald Trump will provide strong leadership for the nation.
Please choose a number from 1 (strongly disagree) to 7 (strongly agree)"
Mezzapelle1439,BELIEVABLE,False,"Based on the information I read in the incident report, I believe that Michelle’s claim is believable.",1,7,1=Strongly disagree; 7=Strongly agree,"Based on the information I read in the incident report, I believe that Michelle’s claim is believable.
Please choose a number from 1 (Strongly disagree) to 7 (Strongly agree)"
Mezzapelle1439,COMPENSATION,False,"If Michelle sought financial compensation through litigation for the harassment she reported, I would be likely to find in favor of Michelle.",1,7,1=Strongly disagree; 7=Strongly agree,"If Michelle sought financial compensation through litigation for the harassment she reported, I would be likely to find in favor of Michelle.
Please choose a number from 1 (Strongly disagree) to 7 (Strongly agree)"
Mezzapelle1439,PERCEIVED HARM,False,I believe that this experience has caused Michelle harm.,1,7,1=Strongly disagree; 7=Strongly agree,"I believe that this experience has caused Michelle harm.
Please choose a number from 1 (Strongly disagree) to 7 (Strongly agree)"
MunschS68,Morgan_Committed,False,,1,7,1=not at all committed; 7=extremely committed,Please choose a number from 1 (not at all committed) to 7 (extremely committed)
Rifkin1073,Stressed,False,I feel stressed,1,7,1=Strongly Disagree; 7=Strongly Agree,"I feel stressed
Please choose a number from 1 (Strongly Disagree) to 7 (Strongly Agree)"
RyanS14,rumor true - laundered money,False,,1,5,1=This event definitely did not occur; 5=This event definitely occurred,Please choose a number from 1 (This event definitely did not occur) to 5 (This event definitely occurred)
SchaadS62,still_identify,False,,1,7,1=Extremely unlikely; 7=Extremely likely,Please choose a number from 1 (Extremely unlikely) to 7 (Extremely likely)
Schnabel903,Feminine,False,Feminine,1,7,1=1; 7=7,"Feminine
Please choose a number from 1 (1) to 7 (7)"
Schnabel903,Masculine,False,Masculine,1,7,1=1; 7=7,"Masculine
Please choose a number from 1 (1) to 7 (7)"
ShannonS2,tax credit effective,False,,1,5,1=Strongly disagree; 5=Strongly agree,Please choose a number from 1 (Strongly disagree) to 5 (Strongly agree)
ShannonS28,immigrant intake,False,Do you think the number of immigrants to America should be....,1,5,1=Reduced a lot; 5=Increased a lot,"Do you think the number of immigrants to America should be....
Please choose a number from 1 (Reduced a lot) to 5 (Increased a lot)"
Silverman1035,Americans_Killed,False,About how many Americans are killed each year by terrorism on U.S. soil?,1,3,"1=87; 3=87,000","About how many Americans are killed each year by terrorism on U.S. soil?
Please choose a number from 1 (87) to 3 (87,000)"
Silverman1035,Terrorism_likely,False,How likely do you think it is that another terrorist attack causing large numbers of American lives to be lost will happen in the near future?,1,4,1=Not likely at all; 4=Very likely,"How likely do you think it is that another terrorist attack causing large numbers of American lives to be lost will happen in the near future?
Please choose a number from 1 (Not likely at all) to 4 (Very likely)"
Silverman1035,Terrorism_worry,False,How worried are you that you will become a victim of terrorism?,1,4,1=Not worried at all; 4=Very worried,"How worried are you that you will become a victim of terrorism?
Please choose a number from 1 (Not worried at all) to 4 (Very worried)"
Stoker1063,Anger,False,How angry does this situation make you?,1,7,1=Not angry; 7=Extremely angry,"How angry does this situation make you?
Please choose a number from 1 (Not angry) to 7 (Extremely angry)"
Stoker1063,Serious,False,"In your opinion, how serious of a problem is this situation?",1,7,1=Not serious; 7=Extremely serious,"In your opinion, how serious of a problem is this situation?
Please choose a number from 1 (Not serious) to 7 (Extremely serious)"
Stoker1063,Worry,False,How worried are you about this problem?,1,7,1=Not worried; 7=Extremely worried,"How worried are you about this problem?
Please choose a number from 1 (Not worried) to 7 (Extremely worried)"
Terman1029,donating to HRAC,False,"Are you willing to donate $1 to the Human Rights Action Committee to support their campaign to push for criminal justice reforms in the US? If you select 'Yes', a link to the donation page will appear at the end of this survey.",1,2,1=No; 2=Yes,"Are you willing to donate $1 to the Human Rights Action Committee to support their campaign to push for criminal justice reforms in the US? If you select 'Yes', a link to the donation page will appear at the end of this survey.
Please choose a number from 1 (No) to 2 (Yes)"
