study_id,study_label,condition,reference,outcome_key,outcome_text,scale_min,scale_max,scale_labels,n_treat,n_ref,mean_treat,mean_ref,sd_treat,sd_ref,ate,se,hypothesized_direction,reference_type,scale_flip,outcome_text_is_scale_only
McCabeS19,Public Opinion and Attributions for Health Care Costs,PROVIDER+GOVERNMENT CUE,CONTROL,Attribution,"Suppose <u>you</u> received an unexpected medical bill, and the amount you had to pay out-of-pocket was expensive and difficult to pay in full. 

If you received this type of medical bill, who would deserve the blame for your experience?

<i>Rank the following, where 1= deserves the <u>most blame</u>, 2= the second most blame, 3= the third most blame, 4= the fourth most blame, 5= the<u>least</u> blame.</i> 
A.        Republicans in government, for failing to address rising health care costs. 
B.        Democrats in government, for failing to address rising health care costs.
C.        A health care provider, for failing to be transparent about costs or provide affordable services.
D.        A health insurance company, for failing to provide adequate coverage for medical care. 
E.        You, as the consumer, for failing to save enough money or purchase adequate health insurance.

What rank would you assign for the first item in the list (Republicans in government, for failing to address rising health care costs)?",1,5,1=Least blame; 5=Most blame,385,399,3.08052,3.01504,1.36788,1.39625,0.0654819,0.098722,,named_control,TRUE,FALSE
McCabeS19,Public Opinion and Attributions for Health Care Costs,INSURANCE,CONTROL,Contact,"Suppose <u>you</u> received an unexpected medical bill, and the amount you had to pay out-of-pocket was expensive and difficult to pay in full. 

Which of the following people would you contact about the bill? 

<i>Rate each group of people on a scale from “Definitely would not contact” to “Definitely would contact.” </i>

A congressman or senator's office",1,5,1=Definitely would not contact; 5=Definitely would contact,429,398,2.25874,2.30151,1.13595,1.15741,-0.0427663,0.0798353,,named_control,FALSE,FALSE
McCabeS19,Public Opinion and Attributions for Health Care Costs,PROVIDER,CONTROL,Contact,"Suppose <u>you</u> received an unexpected medical bill, and the amount you had to pay out-of-pocket was expensive and difficult to pay in full. 

Which of the following people would you contact about the bill? 

<i>Rate each group of people on a scale from “Definitely would not contact” to “Definitely would contact.” </i>

A congressman or senator's office",1,5,1=Definitely would not contact; 5=Definitely would contact,399,398,2.16291,2.30151,1.07555,1.15741,-0.1386,0.0791523,,named_control,FALSE,FALSE
McCabeS19,Public Opinion and Attributions for Health Care Costs,PROVIDER+GOVERNMENT CUE,CONTROL,Contact,"Suppose <u>you</u> received an unexpected medical bill, and the amount you had to pay out-of-pocket was expensive and difficult to pay in full. 

Which of the following people would you contact about the bill? 

<i>Rate each group of people on a scale from “Definitely would not contact” to “Definitely would contact.” </i>

A congressman or senator's office",1,5,1=Definitely would not contact; 5=Definitely would contact,380,398,2.30263,2.30151,1.16024,1.15741,0.00112404,0.0831166,,named_control,FALSE,FALSE
McGinty730,Portrayals of Serious Mental Illness: Precursor to Violence or Treatable Health Condition?,Successful Treatment Engagement & Recovery,No narrative,social_stigma,How willing would you be to have a person with serious mental illness marry into your family?,1,5,1=Definitely unwilling; 5=Definitely willing,350,340,2.65429,2.62353,1.06678,1.12075,0.0307563,0.0833417,1,named_control,TRUE,FALSE
McGinty730,Portrayals of Serious Mental Illness: Precursor to Violence or Treatable Health Condition?,Unsuccessful Treatment Engagement (Individual Choice),No narrative,social_stigma,How willing would you be to have a person with serious mental illness marry into your family?,1,5,1=Definitely unwilling; 5=Definitely willing,352,340,2.44886,2.62353,1.10048,1.12075,-0.174666,0.084468,1,named_control,TRUE,FALSE
McGinty730,Portrayals of Serious Mental Illness: Precursor to Violence or Treatable Health Condition?,Unsuccessful Treatment Engagement (Individual Choice) + Family Violence,No narrative,social_stigma,How willing would you be to have a person with serious mental illness marry into your family?,1,5,1=Definitely unwilling; 5=Definitely willing,377,340,2.22812,2.62353,1.08958,1.12075,-0.395413,0.0827248,1,named_control,TRUE,FALSE
McGinty730,Portrayals of Serious Mental Illness: Precursor to Violence or Treatable Health Condition?,Unsuccessful Treatment Engagement (Individual Choice) + Stranger Violence,No narrative,social_stigma,How willing would you be to have a person with serious mental illness marry into your family?,1,5,1=Definitely unwilling; 5=Definitely willing,358,340,2.31006,2.62353,1.18178,1.12075,-0.313474,0.0871519,1,named_control,TRUE,FALSE
McGinty730,Portrayals of Serious Mental Illness: Precursor to Violence or Treatable Health Condition?,Unsuccessful Treatment Engagement (Policy Failure),No narrative,social_stigma,How willing would you be to have a person with serious mental illness marry into your family?,1,5,1=Definitely unwilling; 5=Definitely willing,354,340,2.48023,2.62353,1.05428,1.12075,-0.143303,0.0826693,1,named_control,TRUE,FALSE
McGinty730,Portrayals of Serious Mental Illness: Precursor to Violence or Treatable Health Condition?,Unsuccessful Treatment Engagement (Policy Failure) + Stranger Violence,No narrative,social_stigma,How willing would you be to have a person with serious mental illness marry into your family?,1,5,1=Definitely unwilling; 5=Definitely willing,340,340,2.40588,2.62353,1.10775,1.12075,-0.217647,0.0854604,1,named_control,TRUE,FALSE
McGinty730,Portrayals of Serious Mental Illness: Precursor to Violence or Treatable Health Condition?,Unsuccessful treatment Engagement (Policy Failure) + Family Violence,No narrative,social_stigma,How willing would you be to have a person with serious mental illness marry into your family?,1,5,1=Definitely unwilling; 5=Definitely willing,349,340,2.29799,2.62353,1.0627,1.12075,-0.325535,0.0832483,1,named_control,TRUE,FALSE
McGinty730,Portrayals of Serious Mental Illness: Precursor to Violence or Treatable Health Condition?,Successful Treatment Engagement & Recovery,No narrative,treatment_support,"Please tell us how much you favor or oppose each item below.

Expanding outpatient public mental health treatment options in the community",1,5,1=strongly oppose; 5=strongly favor,350,341,4.11714,3.97947,0.876626,0.912102,0.137671,0.0680832,1,named_control,TRUE,FALSE
McGinty730,Portrayals of Serious Mental Illness: Precursor to Violence or Treatable Health Condition?,Unsuccessful Treatment Engagement (Individual Choice),No narrative,treatment_support,"Please tell us how much you favor or oppose each item below.

Expanding outpatient public mental health treatment options in the community",1,5,1=strongly oppose; 5=strongly favor,353,341,4.1728,3.97947,0.833358,0.912102,0.193332,0.0663857,1,named_control,TRUE,FALSE
McGinty730,Portrayals of Serious Mental Illness: Precursor to Violence or Treatable Health Condition?,Unsuccessful Treatment Engagement (Individual Choice) + Family Violence,No narrative,treatment_support,"Please tell us how much you favor or oppose each item below.

Expanding outpatient public mental health treatment options in the community",1,5,1=strongly oppose; 5=strongly favor,378,341,4.13492,3.97947,0.892229,0.912102,0.155448,0.0674217,1,named_control,TRUE,FALSE
McGinty730,Portrayals of Serious Mental Illness: Precursor to Violence or Treatable Health Condition?,Unsuccessful Treatment Engagement (Individual Choice) + Stranger Violence,No narrative,treatment_support,"Please tell us how much you favor or oppose each item below.

Expanding outpatient public mental health treatment options in the community",1,5,1=strongly oppose; 5=strongly favor,359,341,4.18942,3.97947,0.907941,0.912102,0.209943,0.0688181,1,named_control,TRUE,FALSE
McGinty730,Portrayals of Serious Mental Illness: Precursor to Violence or Treatable Health Condition?,Unsuccessful Treatment Engagement (Policy Failure),No narrative,treatment_support,"Please tell us how much you favor or oppose each item below.

Expanding outpatient public mental health treatment options in the community",1,5,1=strongly oppose; 5=strongly favor,357,341,4.17647,3.97947,0.90548,0.912102,0.196998,0.0688208,1,named_control,TRUE,FALSE
McGinty730,Portrayals of Serious Mental Illness: Precursor to Violence or Treatable Health Condition?,Unsuccessful Treatment Engagement (Policy Failure) + Stranger Violence,No narrative,treatment_support,"Please tell us how much you favor or oppose each item below.

Expanding outpatient public mental health treatment options in the community",1,5,1=strongly oppose; 5=strongly favor,343,341,4.15452,3.97947,0.915766,0.912102,0.175047,0.0698903,1,named_control,TRUE,FALSE
McGinty730,Portrayals of Serious Mental Illness: Precursor to Violence or Treatable Health Condition?,Unsuccessful treatment Engagement (Policy Failure) + Family Violence,No narrative,treatment_support,"Please tell us how much you favor or oppose each item below.

Expanding outpatient public mental health treatment options in the community",1,5,1=strongly oppose; 5=strongly favor,350,341,4.28286,3.97947,0.82753,0.912102,0.303385,0.0663043,1,named_control,TRUE,FALSE
McGinty730,Portrayals of Serious Mental Illness: Precursor to Violence or Treatable Health Condition?,Successful Treatment Engagement & Recovery,No narrative,willingness_to_pay_mentalhealthservices,Would you be willing to pay any additional taxes to improve the mental health service system in the United States?,1,2,1=no; 2=yes,353,340,1.51275,1.47647,0.500547,0.500182,0.0362773,0.038021,1,named_control,TRUE,FALSE
McGinty730,Portrayals of Serious Mental Illness: Precursor to Violence or Treatable Health Condition?,Unsuccessful Treatment Engagement (Individual Choice),No narrative,willingness_to_pay_mentalhealthservices,Would you be willing to pay any additional taxes to improve the mental health service system in the United States?,1,2,1=no; 2=yes,352,340,1.56534,1.47647,0.496418,0.500182,0.0888703,0.0378935,1,named_control,TRUE,FALSE
McGinty730,Portrayals of Serious Mental Illness: Precursor to Violence or Treatable Health Condition?,Unsuccessful Treatment Engagement (Individual Choice) + Family Violence,No narrative,willingness_to_pay_mentalhealthservices,Would you be willing to pay any additional taxes to improve the mental health service system in the United States?,1,2,1=no; 2=yes,378,340,1.59259,1.47647,0.492003,0.500182,0.116122,0.0370974,1,named_control,TRUE,FALSE
McGinty730,Portrayals of Serious Mental Illness: Precursor to Violence or Treatable Health Condition?,Unsuccessful Treatment Engagement (Individual Choice) + Stranger Violence,No narrative,willingness_to_pay_mentalhealthservices,Would you be willing to pay any additional taxes to improve the mental health service system in the United States?,1,2,1=no; 2=yes,360,340,1.58889,1.47647,0.49272,0.500182,0.112418,0.0375526,1,named_control,TRUE,FALSE
McGinty730,Portrayals of Serious Mental Illness: Precursor to Violence or Treatable Health Condition?,Unsuccessful Treatment Engagement (Policy Failure),No narrative,willingness_to_pay_mentalhealthservices,Would you be willing to pay any additional taxes to improve the mental health service system in the United States?,1,2,1=no; 2=yes,356,340,1.55899,1.47647,0.497207,0.500182,0.0825182,0.0378187,1,named_control,TRUE,FALSE
McGinty730,Portrayals of Serious Mental Illness: Precursor to Violence or Treatable Health Condition?,Unsuccessful Treatment Engagement (Policy Failure) + Stranger Violence,No narrative,willingness_to_pay_mentalhealthservices,Would you be willing to pay any additional taxes to improve the mental health service system in the United States?,1,2,1=no; 2=yes,342,340,1.60819,1.47647,0.48887,0.500182,0.131717,0.0378767,1,named_control,TRUE,FALSE
McGinty730,Portrayals of Serious Mental Illness: Precursor to Violence or Treatable Health Condition?,Unsuccessful treatment Engagement (Policy Failure) + Family Violence,No narrative,willingness_to_pay_mentalhealthservices,Would you be willing to pay any additional taxes to improve the mental health service system in the United States?,1,2,1=no; 2=yes,351,340,1.60399,1.47647,0.489765,0.500182,0.127518,0.0376725,1,named_control,TRUE,FALSE
Melin1066,Testing a Theory of Hybrid Femininity,“Military/Automotive”,“Cosmetics/Automotive”,Capable,"On a scale from 1 “Not at all” to 7 “Extremely”, to what extent do you perceive this applicant as capable?",1,7,1=Not at all; 7=Extremely,273,275,5.88278,5.27273,0.891646,1.17229,0.610057,0.0889353,1,hypothesis_pair,FALSE,FALSE
Melin1066,Testing a Theory of Hybrid Femininity,“Military/Consulting”,“Cosmetics/Consulting”,Capable,"On a scale from 1 “Not at all” to 7 “Extremely”, to what extent do you perceive this applicant as capable?",1,7,1=Not at all; 7=Extremely,270,297,5.73333,5.34343,1.12557,1.09817,0.389899,0.0935565,1,hypothesis_pair,FALSE,FALSE
Melin1066,Testing a Theory of Hybrid Femininity,“Military/Wedding”,“Cosmetics/Wedding”,Capable,"On a scale from 1 “Not at all” to 7 “Extremely”, to what extent do you perceive this applicant as capable?",1,7,1=Not at all; 7=Extremely,300,262,5.54333,5.29771,1.14272,1.10862,0.245623,0.0950982,1,hypothesis_pair,FALSE,FALSE
Melin1066,Testing a Theory of Hybrid Femininity,“Military/Automotive”,“Cosmetics/Automotive”,masculine,"On a scale from 1 “Not at all” to 7 “Extremely”, to what extent do you perceive this applicant as masculine?",1,7,1=Not at all; 7=Extremely,263,261,3.67681,2.83908,1.77292,1.58022,0.837726,0.146693,1,hypothesis_pair,FALSE,FALSE
Melin1066,Testing a Theory of Hybrid Femininity,“Military/Consulting”,“Cosmetics/Consulting”,masculine,"On a scale from 1 “Not at all” to 7 “Extremely”, to what extent do you perceive this applicant as masculine?",1,7,1=Not at all; 7=Extremely,261,284,3.46743,2.6338,1.75299,1.57264,0.83363,0.143116,1,hypothesis_pair,FALSE,FALSE
Melin1066,Testing a Theory of Hybrid Femininity,“Military/Wedding”,“Cosmetics/Wedding”,masculine,"On a scale from 1 “Not at all” to 7 “Extremely”, to what extent do you perceive this applicant as masculine?",1,7,1=Not at all; 7=Extremely,292,244,3.59932,2.66393,1.62044,1.48579,0.935381,0.134313,1,hypothesis_pair,FALSE,FALSE
Mezzapelle1439,Do Victims’ Race and Gender Identity Interact to Predict the Perceived Credibility of Sexual Harassment Claims?,Black Transgender Woman,White Cisgender Woman,BELIEVABLE,"Based on the information I read in the incident report, I believe that Michelle’s claim is believable.",1,7,1=Strongly disagree; 7=Strongly agree,523,518,4.94264,4.8668,1.36337,1.18322,0.0758433,0.0790999,1,hypothesis_pair,FALSE,FALSE
Mezzapelle1439,Do Victims’ Race and Gender Identity Interact to Predict the Perceived Credibility of Sexual Harassment Claims?,Black Transgender Woman,White Cisgender Woman,COMPENSATION,"If Michelle sought financial compensation through litigation for the harassment she reported, I would be likely to find in favor of Michelle.",1,7,1=Strongly disagree; 7=Strongly agree,525,523,4.12381,4.00765,1.55126,1.41825,0.116161,0.0918127,1,hypothesis_pair,FALSE,FALSE
Mezzapelle1439,Do Victims’ Race and Gender Identity Interact to Predict the Perceived Credibility of Sexual Harassment Claims?,Black Transgender Woman,White Cisgender Woman,PERCEIVED HARM,I believe that this experience has caused Michelle harm.,1,7,1=Strongly disagree; 7=Strongly agree,524,519,4.77863,4.51445,1.4531,1.30904,0.264175,0.0856232,1,hypothesis_pair,FALSE,FALSE
